id,title,description,availability,condition,price,link,image_link,brand
dir-denver-fills,Denver metro propane fills — Keep the Tank,"Directory of Denver metro shops that fill a propane cylinder you already own, plus exchange cages labeled so you can tell them apart. Call first. Not a store.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
dir-denver-sunday,Denver Sunday propane fills — Keep the Tank,Denver metro shops with posted Sunday hours that fill the cylinder you already own. Call first.,in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver-sunday.html,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
dir-denver-large,"Denver 100-lb, RV, and forklift propane fills — Keep the Tank","Denver metro shops that fill a 100-lb cylinder, an onboard RV tank, or a forklift bottle. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver-large.html,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
dir-denver-recert,Denver propane tank recert — Keep the Tank,Denver metro shops whose own page says they certify or recertify expired cylinders. Call first.,in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver-recert.html,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
dir-boulder,Boulder / Lafayette / Longmont propane fills — Keep the Tank,"Boulder County cluster of fill stations, cages labeled. Lafayette TSC still no refill. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/boulder.html,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-arvada,"U-Haul of Arvada — propane fill, Arvada","U-Haul of Arvada at 6275 Wadsworth Byp, Arvada, CO 80003. FILL station: they put propane in the cylinder you already own. Phone 303-423-1292. Northwest metro fill. Phone from official U-Haul propane results for Arvada. Call for current per-gallon price. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-arvada,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-south-havana,"U-Haul Moving & Storage at South Havana — propane fill, Aurora","U-Haul Moving & Storage at South Havana at 615 S Havana St, Aurora, CO 80012. FILL station: they put propane in the cylinder you already own. Phone 303-340-3070. South Aurora fill. Official propane page lists this location and phone. Call for current per-gallon price. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-south-havana,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
uhaul-aurora-colfax,"U-Haul at I-225 & Colfax — propane fill, Aurora","U-Haul at I-225 & Colfax at 13721 E Colfax Ave, Aurora, CO 80011. FILL station: they put propane in the cylinder you already own. Phone 303-360-9944. East-metro fill. Phone from the official U-Haul truck-rental page for this same store (not printed on the propane location page). Call for current per-gallon price. U-Haul’s propane FAQ: they inspect tanks before refill but do not recertify. Visual inspection is not DOT recertification. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#uhaul-aurora-colfax,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
tsc-bennett,"Tractor Supply Co. #1873 — propane fill, Bennett","Tractor Supply Co. #1873 at 200 West Marketplace Dr, Bennett, CO 80102. FILL station: they put propane in the cylinder you already own. Phone 303-644-5110. East of Denver. Official store page lists propane tank refill. TSC says the majority of stores can fill RVs — call ahead. East Plains location; confirm lot access if you are in a large rig. Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#tsc-bennett,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
tsc-brighton,"Tractor Supply Co. #1786 — propane fill, Brighton","Tractor Supply Co. #1786 at 147 Denver St, Brighton, CO 80601. FILL station: they put propane in the cylinder you already own. Phone 303-659-6405. Closest Tractor Supply to the listed Denver metro cities (Brighton sits just NE of Commerce City / Thornton). Colorado store locator and the Brighton store page list propane tank refill. Chain FAQ: they inspect the cylinder and expiration date, then fill by the gallon. Recertification is not claimed. Call for price. TSC Lafayette (825 N US-287) was omitted because a store-specific propane page sai Not for sale — a Keep the Tank listing. Call first.",in stock,new,0.00 CAD,https://jwalterscheid-oss.github.io/fillnotexchange/denver.html#tsc-brighton,https://jwalterscheid-oss.github.io/fillnotexchange/keepthetank.svg,Keep the Tank
